Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"2159-1","Trains","9V",2006,"9V Train Track Starter Collection",,24,,29.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,70.0000,,"",""
"2598-1","Duplo","",2006,"Large Red Building Plate",,1,7.35,14.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2928-1","City","Airport",2006,"City In-Flight 2006",2,141,,,,,,673419084048,19.2,9.6,6,,"",0,0,0,,0,0,,,,,,,,,36.6900,15.6000,"01/01/2006","31/12/2007"
"2928-2","City","Airport",2006,"City in-Flight 2016 (ANA version)",2,134,,,,,,,19.2,9.6,6,,"",0,0,0,,0,0,,,,,,,,,120.1000,,"01/01/2006","31/12/2007"
"3191-1","Duplo","",2006,"Anniversary Bucket",,103,14.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3191-2","Duplo","",2006,"Yellow Half-Tub, Special Edition",,103,14.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3298-1","Duplo","Bob the Builder",2006,"Lift and Load Sumsy",1,12,9.99,10,,,,673419079839,28.8,19.2,7.2,0.3,"",0,0,0,,0,0,,,,,,,,,32.5000,15.6100,"",""
"3299-1","Duplo","Bob the Builder",2006,"Scrambler and Dizzy at Bob's Workshop",3,50,24.99,19.99,,,,673419079846,38.4,28.8,9.6,0.82,"",0,0,0,,0,0,,,,,,,,,,28.0000,"01/06/2006","31/12/2008"
"3300-1","Duplo","Thomas the Tank Engine",2006,"Harold the Helicopter",1,7,9.99,10,,,,673419078214,28.8,19.2,7.2,0.29,"",0,0,0,,0,0,,,,,,,,,133.3800,40.7800,"",""
"3301-1","Duplo","Thomas the Tank Engine",2006,"Cranky-Loading Crane",2,34,19.99,20,,,,673419078221,38.4,28.8,7.2,0.72,"",0,0,0,,0,0,,,,,,,,,120.0000,42.5000,"01/01/2006","31/12/2007"
"3568-1","Sports","Football",2006,"Soccer Target Practice",2,26,,,,,,,19.2,14.4,7.2,,"",0,0,0,,0,0,,,,,,,,,,18.9500,"01/01/2006","31/12/2006"
